angle_deg,ch0,ch1,ch2
0.0,0.0,191.0,0.0
5.0,0.0,185.0,0.0
10.0,0.0,181.0,0.0
15.0,0.0,176.0,0.0
20.0,0.0,170.0,0.0
25.0,0.0,164.0,0.0
30.0,0.0,159.0,0.0
35.0,0.0,155.0,0.0
40.0,0.0,154.0,0.0
45.0,0.0,152.0,0.0
-5.0,0.0,199.0,0.0
-10.0,0.0,200.0,0.0
-15.0,0.0,203.0,0.0
-20.0,0.0,205.0,0.0
-25.0,0.0,208.0,0.0
-30.0,0.0,210.0,0.0
-35.0,0.0,213.0,0.0
-40.0,0.0,215.0,0.0
-45.0,0.0,218.0,0.0
