angle_deg,ch0,ch1,ch2
0.0,0.0,143.0,0.0
5.0,0.0,140.0,0.0
10.0,0.0,136.0,0.0
15.0,0.0,134.0,0.0
20.0,0.0,134.0,0.0
25.0,0.0,132.0,0.0
30.0,0.0,134.0,0.0
35.0,0.0,139.0,0.0
40.0,0.0,137.0,0.0
45.0,0.0,141.0,0.0
-5.0,0.0,150.0,0.0
-10.0,0.0,157.0,0.0
-15.0,0.0,160.0,0.0
-20.0,0.0,164.0,0.0
-25.0,0.0,167.0,0.0
-30.0,0.0,171.0,0.0
-35.0,0.0,176.0,0.0
-40.0,0.0,177.0,0.0
-45.0,0.0,181.0,0.0
