angle_deg,ch0,ch1,ch2
0.0,0.0,154.0,0.0
5.0,0.0,148.0,0.0
10.0,0.0,145.0,0.0
15.0,0.0,139.0,0.0
20.0,0.0,135.0,0.0
25.0,0.0,126.0,0.0
30.0,0.0,121.0,0.0
35.0,0.0,118.0,0.0
40.0,0.0,115.0,0.0
45.0,0.0,117.0,0.0
-5.0,0.0,159.0,0.0
-10.0,0.0,164.0,0.0
-15.0,0.0,169.0,0.0
-20.0,0.0,171.0,0.0
-25.0,0.0,176.0,0.0
-30.0,0.0,179.0,0.0
-35.0,0.0,181.0,0.0
-40.0,0.0,184.0,0.0
-45.0,0.0,187.0,0.0
